repo_name,mas_related,uses_mas_runtime,uses_mas,use_case
01-ai/langcrew,yes,yes,yes,Workflow Automation
1Panel-dev/ClawSwarm,yes,yes,yes,Workflow Automation
1Panel-dev/MaxKB,yes,yes,yes,Workflow Automation
2FastLabs/agent-squad,yes,yes,yes,Workflow Automation
666ghj/BettaFish,yes,yes,yes,Workflow Automation
666ghj/MiroFish,yes,yes,yes,Workflow Automation
7836246/cursor2api,yes,no,no,Workflow Automation
AI4Finance-Foundation/FinRobot,yes,yes,yes,Workflow Automation
AOSSIE-Org/Devr.AI,yes,yes,yes,Workflow Automation
AgentR1/Agent-R1,yes,no,no,Simulation
AgenticGoKit/AgenticGoKit,yes,yes,yes,Workflow Automation
AgentsMesh/AgentsMesh,yes,yes,yes,Workflow Automation
Alishahryar1/free-claude-code,yes,yes,yes,Workflow Automation
AmberLJC/LLMSys-PaperList,yes,no,no,Workflow Automation
Arindam200/awesome-ai-apps,,,,
Armur-Ai/Pentest-Swarm-AI,yes,yes,yes,Workflow Automation
Aspegio/nelson,yes,yes,yes,Workflow Automation
AutoJunjie/awesome-agent-harness,yes,no,no,Workflow Automation
Azgaar/Fantasy-Map-Generator,yes,yes,yes,Workflow Automation
Azure-Samples/microsoft-foundry-baseline,yes,no,no,Workflow Automation
Azure-Samples/python-agentframework-demos,yes,yes,yes,Workflow Automation
Bessouat40/RAGLight,yes,no,no,RAG + Agents
BradyFU/Awesome-Multimodal-Large-Language-Models,no,no,no,None
ChicagoHAI/NeuriCo,yes,yes,yes,Workflow Automation
Community-Access/accessibility-agents,,,,
ComposioHQ/agent-orchestrator,yes,yes,yes,Workflow Automation
ComposioHQ/composio,yes,yes,yes,Workflow Automation
CopilotKit/CopilotKit,,,,
CortexReach/memory-lancedb-pro,yes,no,no,RAG + Agents
Cranot/claude-code-guide,yes,no,no,Workflow Automation
DavidZWZ/Awesome-Deep-Research,no,no,no,None
Dicklesworthstone/coding_agent_session_search,yes,no,no,Workflow Automation
Enderfga/openclaw-claude-code,yes,yes,yes,Workflow Automation
EvoMap/awesome-agent-evolution,yes,no,no,Workflow Automation
Evolutionary-Intelligence/pypop,,,,
Findomain/Findomain,yes,no,no,Workflow Automation
FlowiseAI/Flowise,yes,yes,yes,Workflow Automation
Fosowl/agenticSeek,yes,yes,yes,Workflow Automation
GetStream/Vision-Agents,yes,no,no,Workflow Automation
Gitlawb/openclaude,yes,yes,yes,Workflow Automation
GoogleChrome/lighthouse,yes,no,no,Workflow Automation
GoogleCloudPlatform/generative-ai,,,,
GopeedLab/gopeed,yes,no,no,Workflow Automation
GradientHQ/parallax,no,no,no,None
HITsz-TMG/AIGC-Claw,yes,yes,yes,Workflow Automation
HKUDS/ClawTeam,yes,yes,yes,Workflow Automation
HKUDS/DeepCode,yes,yes,yes,Workflow Automation
HKUDS/DeepTutor,yes,yes,yes,Workflow Automation
HKUDS/LightRAG,yes,yes,yes,RAG + Agents
HKUDS/Paper2Slides,yes,no,no,Workflow Automation
HKUSTDial/DeepFund,yes,yes,yes,Workflow Automation
HPInc/AI-Blueprints,yes,yes,yes,Workflow Automation
Hawksight-AI/semantica,yes,yes,yes,Workflow Automation
HoangNguyen0403/agent-skills-standard,yes,no,no,Workflow Automation
IQAIcom/adk-ts,yes,yes,yes,Workflow Automation
Idun-Group/idun-agent-platform,yes,no,no,Workflow Automation
InfinitiBit/graphbit,yes,yes,yes,Workflow Automation
Integuru-AI/Integuru,yes,no,no,Workflow Automation
Intelligent-Internet/ii-agent,yes,yes,yes,Workflow Automation
InternLM/lagent,yes,yes,yes,Workflow Automation
JackChen-me/open-multi-agent,yes,yes,yes,Workflow Automation
Jenqyang/Awesome-AI-Agents,yes,no,no,Workflow Automation
JudgmentLabs/judgeval,no,no,no,None
JulietaUla/Montserrat,no,no,no,None
K-Dense-AI/karpathy,yes,yes,yes,Workflow Automation
KalyanKS-NLP/llm-engineer-toolkit,,,,
KeygraphHQ/shannon,yes,yes,yes,Workflow Automation
Kocoro-lab/ShanClaw,yes,yes,yes,Workflow Automation
LCLM-Horizon/A-Comprehensive-Survey-For-Long-Context-Language-Modeling,no,no,no,None
LeapLabTHU/cooragent,yes,yes,yes,Workflow Automation
Lissy93/web-check,yes,no,no,Workflow Automation
MARS-EAI/VIKI-R,yes,no,no,Simulation
Marktechpost/AI-Agents-Projects-Tutorials,,,,
MemMachine/MemMachine,yes,yes,yes,Workflow Automation
MemTensor/MemOS,,,,
MiroMindAI/MiroThinker,yes,yes,yes,Workflow Automation
ModelEngine-Group/nexent,yes,yes,yes,Workflow Automation
MoonshotAI/Kimi-K2,,,,
NVIDIA-NeMo/DataDesigner,yes,no,no,Workflow Automation
NVIDIA/TensorRT-LLM,,,,
NVIDIA/aistore,yes,no,no,Workflow Automation
NYU-LLM-CTF/nyuctf_agents,yes,yes,yes,Workflow Automation
Narcooo/inkos,yes,yes,yes,Workflow Automation
Nasiko-Labs/nasiko,yes,yes,yes,Workflow Automation
NirDiamant/GenAI_Agents,yes,yes,yes,Workflow Automation
NirDiamant/agents-towards-production,yes,yes,yes,Workflow Automation
Norbert515/vide_cli,yes,yes,yes,Workflow Automation
NovaSky-AI/SkyRL,yes,yes,yes,Workflow Automation
Nuitka/Nuitka,yes,no,no,Code Generation
OWASP/wstg,yes,yes,yes,Workflow Automation
Open-Lemon/LemonAgent,yes,no,no,Workflow Automation
OpenBMB/ChatDev,yes,yes,yes,Workflow Automation
OpenBMB/MiniCPM,,,,
OpenPipe/ART,yes,yes,yes,Workflow Automation
OpenRLHF/OpenRLHF,yes,no,no,Workflow Automation
Oqura-ai/deepdoc,yes,yes,yes,Workflow Automation
PaddlePaddle/PaddleSpeech,yes,yes,yes,Workflow Automation
Paper2Poster/Paper2Poster,,,,
PetroIvaniuk/llms-tools,no,no,no,None
Piebald-AI/claude-code-system-prompts,yes,no,no,Workflow Automation
PurpleAILAB/Decepticon,yes,yes,yes,Workflow Automation
QizhiPei/Awesome-Biomolecule-Language-Cross-Modeling,no,no,no,None
QwenLM/Qwen3,yes,yes,yes,Workflow Automation
RDFLib/rdflib,yes,no,no,Workflow Automation
ReversecLabs/drozer,no,no,no,None
RightNow-AI/openfang,yes,yes,yes,Workflow Automation
RobotecAI/rai,yes,yes,yes,Simulation
SWE-agent/mini-swe-agent,yes,yes,yes,Workflow Automation
SalesforceAIResearch/MCP-Universe,yes,yes,yes,Workflow Automation
SalesforceAIResearch/enterprise-deep-research,yes,yes,yes,Workflow Automation
Shubhamsaboo/awesome-llm-apps,,,,
Significant-Gravitas/AutoGPT,,,,
Simple-Efficient/RL-Factory,yes,yes,yes,Workflow Automation
SolaceLabs/solace-agent-mesh,,,,
Sri-Krishna-V/awesome-adk-agents,yes,yes,yes,Workflow Automation
Steffen025/pai-opencode,yes,yes,yes,Workflow Automation
Stephane-D/SGDK,no,no,no,None
THU-MAIC/OpenMAIC,yes,yes,yes,Workflow Automation
The-Pocket/PocketFlow,yes,yes,yes,Workflow Automation
Thinklab-SJTU/Awesome-LLM4AD,no,no,no,None
TimeCopilot/timecopilot,yes,yes,yes,Workflow Automation
ToolBrain/ToolBrain,yes,no,no,Workflow Automation
Tswoen/Paper-Agent,yes,yes,yes,RAG + Agents
VRSEN/agency-swarm,yes,yes,yes,Workflow Automation
ValueCell-ai/ClawX,,,,
VectifyAI/PageIndex,yes,no,no,RAG + Agents
Vigil-SOC/vigil,yes,yes,yes,Workflow Automation
VoltAgent/awesome-claude-code-subagents,yes,no,no,Workflow Automation
VoltAgent/awesome-openclaw-skills,no,no,no,None
WangRongsheng/awesome-LLM-resources,no,no,no,None
X-PLUG/MobileAgent,,,,
XMUDeepLIT/Awesome-Self-Evolving-Agents,no,no,no,None
XiaomiMiMo/MiMo-V2-Flash,no,no,no,None
YoungDubbyDu/Awesome-LLM-Agent-Optimization-Papers,no,no,no,None
YuyaoGe/Awesome-Vibe-Coding,no,no,no,None
ZJU-LLMs/Agent-Kernel,yes,yes,yes,Simulation
ZeframLou/call-me,yes,no,no,Workflow Automation
